Customer_ID,Acquisition Week,Weeks Since Acquisition,Retention Percentage,Monetary Value,Churn Probability,Prescriptive Action,Projected 12-Week Revenue_At_Risk,Net Protected Revenue (25%)
23,38,10,0.1884,3008.64,0.936,DEPLOY: $15 VIP Win-Back Coupon,844.81,211.2
24,2,40,0.069,588.61,0.7847,DEPLOY: $5 Standard Discount Email,138.56,34.64
25,21,19,0.0874,190.46,0.7262,DEPLOY: $5 Standard Discount Email,41.49,10.37
26,33,12,0.2066,4259.73,0.9229,DEPLOY: $15 VIP Win-Back Coupon,1179.36,294.84
27,12,39,0.0394,1188.29,0.4579,HOLD: Monitor Only,163.23,0.0
28,22,6,0.3949,560.02,0.2717,HOLD: Monitor Only,45.65,0.0
29,44,0,0.8759,651.79,0.5904,HOLD: Monitor Only,115.45,0.0
30,25,20,0.0805,11138.31,0.9255,DEPLOY: $15 VIP Win-Back Coupon,3092.71,773.18
31,49,3,0.5777,3155.6,0.6225,HOLD: Monitor Only,589.31,0.0
32,27,14,0.1214,290.97,0.6339,HOLD: Monitor Only,55.34,0.0
33,42,0,0.8553,435.12,0.3277,HOLD: Monitor Only,42.77,0.0
34,28,24,0.0963,1273.78,0.8957,DEPLOY: $5 Standard Discount Email,342.27,85.57
35,16,4,0.4994,3202.51,0.0828,HOLD: Monitor Only,79.52,0.0
36,15,33,0.1038,696.81,0.481,HOLD: Monitor Only,100.56,0.0
37,47,2,0.6541,1469.19,0.088,HOLD: Monitor Only,38.77,0.0
38,51,0,0.8427,2074.47,0.3245,HOLD: Monitor Only,201.93,0.0
39,44,1,0.7954,2126.69,0.2044,HOLD: Monitor Only,130.38,0.0
40,52,0,0.8827,102.09,0.5705,HOLD: Monitor Only,17.47,0.0
41,3,32,0.0245,2358.94,0.3023,HOLD: Monitor Only,213.96,0.0
42,37,10,0.2128,226.01,0.7779,DEPLOY: $5 Standard Discount Email,52.74,13.19
43,51,1,0.7178,1282.19,0.2538,HOLD: Monitor Only,97.63,0.0
44,7,29,0.0732,990.59,0.262,HOLD: Monitor Only,77.87,0.0
45,21,9,0.2688,495.48,0.8132,DEPLOY: $5 Standard Discount Email,120.88,30.22
46,9,17,0.1237,4973.11,0.1871,HOLD: Monitor Only,279.12,0.0
47,39,5,0.3953,469.29,0.804,DEPLOY: $5 Standard Discount Email,113.19,28.3
48,18,18,0.091,965.34,0.3148,HOLD: Monitor Only,91.15,0.0
49,4,35,0.0512,5189.96,0.266,HOLD: Monitor Only,414.08,0.0
50,25,26,0.0298,932.81,0.4657,HOLD: Monitor Only,130.33,0.0
51,14,12,0.1648,727.63,0.3485,HOLD: Monitor Only,76.08,0.0
52,50,3,0.5872,1310.56,0.5009,HOLD: Monitor Only,196.95,0.0
53,9,2,0.6116,3458.54,0.3768,HOLD: Monitor Only,390.96,0.0
54,26,9,0.2865,10255.5,0.3609,HOLD: Monitor Only,1110.25,0.0
55,2,37,0.0749,587.96,0.8625,DEPLOY: $5 Standard Discount Email,152.14,38.04
56,20,0,0.8442,648.01,0.5854,HOLD: Monitor Only,113.8,0.0
57,28,22,0.0665,1297.76,0.9734,DEPLOY: $5 Standard Discount Email,378.97,94.74
58,47,2,0.6593,2383.13,0.0321,HOLD: Monitor Only,22.94,0.0
59,7,45,0.0352,717.45,0.8377,DEPLOY: $5 Standard Discount Email,180.3,45.08
60,44,7,0.3152,4131.01,0.2018,HOLD: Monitor Only,250.05,0.0
61,8,45,0.0505,601.4,0.8521,DEPLOY: $5 Standard Discount Email,153.73,38.43
62,47,1,0.696,184.74,0.3951,HOLD: Monitor Only,21.9,0.0
63,35,16,0.0936,3422.51,0.1681,HOLD: Monitor Only,172.55,0.0
64,14,8,0.2846,3932.8,0.2723,HOLD: Monitor Only,321.25,0.0
65,17,5,0.4374,6333.33,0.5234,HOLD: Monitor Only,994.38,0.0
66,36,10,0.2125,165.62,0.6372,HOLD: Monitor Only,31.66,0.0
67,50,0,0.846,813.43,0.5227,HOLD: Monitor Only,127.55,0.0
68,40,6,0.343,1337.73,0.9958,DEPLOY: $5 Standard Discount Email,399.64,99.91
69,4,48,0.0692,14888.58,0.0555,HOLD: Monitor Only,247.78,0.0
70,2,27,0.0683,1493.62,0.9977,DEPLOY: $5 Standard Discount Email,447.04,111.76
71,6,32,0.0628,359.31,0.5519,HOLD: Monitor Only,59.49,0.0
72,42,5,0.4377,2581.4,0.8465,DEPLOY: $15 VIP Win-Back Coupon,655.55,163.89
73,4,36,0.0552,8702.34,0.9036,DEPLOY: $15 VIP Win-Back Coupon,2358.9,589.73
74,29,8,0.2813,6741.02,0.9938,DEPLOY: $15 VIP Win-Back Coupon,2009.85,502.46
75,18,17,0.1351,3548.07,0.4104,HOLD: Monitor Only,436.81,0.0
76,26,23,0.0785,2477.88,0.9876,DEPLOY: $5 Standard Discount Email,734.12,183.53
77,44,4,0.4857,118.95,0.6061,HOLD: Monitor Only,21.63,0.0
78,34,1,0.7384,1864.6,0.3204,HOLD: Monitor Only,179.23,0.0
79,10,42,0.0509,2238.96,0.0888,HOLD: Monitor Only,59.66,0.0
80,36,5,0.4244,1492.35,0.7277,DEPLOY: $5 Standard Discount Email,325.78,81.44
81,14,39,0.0612,4223.92,0.5796,HOLD: Monitor Only,734.5,0.0
82,31,3,0.5414,1463.82,0.4575,HOLD: Monitor Only,200.89,0.0
83,48,1,0.7213,1161.8,0.9861,DEPLOY: $5 Standard Discount Email,343.69,85.92
84,15,36,0.0648,6290.51,0.3434,HOLD: Monitor Only,648.12,0.0
85,8,14,0.1451,1100.69,0.9847,DEPLOY: $5 Standard Discount Email,325.17,81.29
86,14,27,0.0834,1953.9,0.9381,DEPLOY: $5 Standard Discount Email,549.87,137.47
87,23,17,0.1206,5308.36,0.7606,DEPLOY: $15 VIP Win-Back Coupon,1211.21,302.8
88,40,1,0.7275,537.64,0.0151,HOLD: Monitor Only,2.44,0.0
89,21,21,0.0958,472.0,0.569,HOLD: Monitor Only,80.57,0.0
90,16,10,0.2524,9223.67,0.5974,HOLD: Monitor Only,1653.11,0.0
91,45,8,0.2999,887.8,0.5182,HOLD: Monitor Only,138.01,0.0
92,18,12,0.1956,4150.23,0.6429,HOLD: Monitor Only,800.51,0.0
93,47,3,0.5567,214.78,0.7448,DEPLOY: $5 Standard Discount Email,47.99,12.0
94,24,21,0.1041,89.69,0.7989,DEPLOY: $5 Standard Discount Email,21.5,5.37
95,26,6,0.3636,2799.16,0.6885,HOLD: Monitor Only,578.16,0.0
96,25,28,0.0688,1551.5,0.4366,HOLD: Monitor Only,203.2,0.0
97,45,5,0.4793,2830.92,0.1457,HOLD: Monitor Only,123.77,0.0
98,41,7,0.3407,17148.24,0.2516,HOLD: Monitor Only,1294.17,0.0
99,29,3,0.5517,409.6,0.724,DEPLOY: $5 Standard Discount Email,88.96,22.24
100,15,27,0.0555,1892.82,0.9973,DEPLOY: $5 Standard Discount Email,566.3,141.57
101,45,0,0.8486,10646.21,0.0426,HOLD: Monitor Only,136.13,0.0
102,1,2,0.6597,487.07,0.6165,HOLD: Monitor Only,90.08,0.0
103,25,13,0.1667,896.35,0.7481,DEPLOY: $5 Standard Discount Email,201.17,50.29
104,7,37,0.0401,216.86,0.9768,DEPLOY: $5 Standard Discount Email,63.55,15.89
105,9,0,0.837,26513.76,0.0578,HOLD: Monitor Only,459.52,0.0
106,24,5,0.4309,128.32,0.6338,HOLD: Monitor Only,24.4,0.0
107,1,37,0.054,4714.05,0.2005,HOLD: Monitor Only,283.59,0.0
108,44,4,0.4981,371.01,0.4724,HOLD: Monitor Only,52.58,0.0
109,8,28,0.0803,512.31,0.0435,HOLD: Monitor Only,6.69,0.0
110,24,4,0.5436,6481.74,0.5623,HOLD: Monitor Only,1093.37,0.0
111,11,9,0.2282,741.73,0.5732,HOLD: Monitor Only,127.54,0.0
112,51,0,0.8637,3952.66,0.3846,HOLD: Monitor Only,456.06,0.0
113,17,6,0.3772,9471.46,0.2895,HOLD: Monitor Only,822.7,0.0
114,8,2,0.6058,2300.4,0.1899,HOLD: Monitor Only,131.04,0.0
115,35,12,0.2072,5256.09,0.1771,HOLD: Monitor Only,279.18,0.0
116,35,14,0.1564,1991.83,0.8953,DEPLOY: $5 Standard Discount Email,535.01,133.75
117,33,19,0.1123,2105.71,0.9041,DEPLOY: $5 Standard Discount Email,571.16,142.79
118,5,18,0.0698,843.94,0.5965,HOLD: Monitor Only,151.02,0.0
119,42,2,0.6382,18299.54,0.2502,HOLD: Monitor Only,1373.36,0.0
120,39,3,0.5385,4409.05,0.5381,HOLD: Monitor Only,711.73,0.0
121,41,4,0.5323,3381.81,0.3995,HOLD: Monitor Only,405.34,0.0
122,28,0,0.8729,4556.7,0.153,HOLD: Monitor Only,209.21,0.0
123,7,3,0.5465,802.11,0.7648,DEPLOY: $5 Standard Discount Email,184.04,46.01
124,9,11,0.1729,5525.71,0.5916,HOLD: Monitor Only,980.76,0.0
125,8,26,0.0701,11696.64,0.0934,HOLD: Monitor Only,327.81,0.0
126,12,41,0.0736,344.87,0.4539,HOLD: Monitor Only,46.96,0.0
127,34,19,0.0616,3462.95,0.7828,DEPLOY: $15 VIP Win-Back Coupon,813.2,203.3
128,33,12,0.1636,1949.54,0.7836,DEPLOY: $5 Standard Discount Email,458.31,114.58
129,48,5,0.4058,969.69,0.9966,DEPLOY: $5 Standard Discount Email,289.92,72.48
130,23,22,0.0968,486.92,0.5029,HOLD: Monitor Only,73.46,0.0
131,24,4,0.4817,6388.81,0.1085,HOLD: Monitor Only,207.88,0.0
132,37,3,0.5535,2320.62,0.0994,HOLD: Monitor Only,69.18,0.0
133,35,13,0.1673,1410.14,0.9966,DEPLOY: $5 Standard Discount Email,421.61,105.4
134,44,9,0.2398,3466.35,0.2479,HOLD: Monitor Only,257.8,0.0
135,40,0,0.8211,1551.57,0.3627,HOLD: Monitor Only,168.81,0.0
136,22,9,0.2848,776.75,0.4476,HOLD: Monitor Only,104.3,0.0
137,27,25,0.0981,2110.63,0.2045,HOLD: Monitor Only,129.51,0.0
138,35,6,0.3788,1748.29,0.295,HOLD: Monitor Only,154.71,0.0
139,1,15,0.1394,215.07,0.8566,DEPLOY: $5 Standard Discount Email,55.27,13.82
140,35,0,0.8752,849.39,0.2823,HOLD: Monitor Only,71.93,0.0
141,37,16,0.1257,396.52,0.7612,DEPLOY: $5 Standard Discount Email,90.55,22.64
142,47,4,0.4807,249.22,0.5978,HOLD: Monitor Only,44.7,0.0
143,14,8,0.2917,3169.22,0.1089,HOLD: Monitor Only,103.54,0.0
144,3,5,0.4558,810.36,0.4613,HOLD: Monitor Only,112.15,0.0
145,1,50,0.0515,6308.72,0.2035,HOLD: Monitor Only,385.13,0.0
146,5,44,0.0377,201.48,0.6366,HOLD: Monitor Only,38.48,0.0
147,26,2,0.6456,1264.83,0.1874,HOLD: Monitor Only,71.09,0.0
148,14,38,0.0658,863.41,0.6867,HOLD: Monitor Only,177.87,0.0
149,39,5,0.4386,272.17,0.4144,HOLD: Monitor Only,33.84,0.0
150,27,8,0.302,1819.11,0.6486,HOLD: Monitor Only,353.98,0.0
151,9,4,0.4725,302.23,0.9848,DEPLOY: $5 Standard Discount Email,89.29,22.32
152,15,22,0.0949,2361.99,0.6804,HOLD: Monitor Only,482.16,0.0
153,15,16,0.1231,4293.73,0.5087,HOLD: Monitor Only,655.28,0.0
154,26,11,0.1894,2492.56,0.7967,DEPLOY: $5 Standard Discount Email,595.71,148.93
155,42,6,0.3905,2900.56,0.2799,HOLD: Monitor Only,243.53,0.0
156,13,15,0.1252,6232.18,0.0421,HOLD: Monitor Only,78.75,0.0
157,51,2,0.6112,1750.9,0.0268,HOLD: Monitor Only,14.06,0.0
158,32,21,0.0643,671.0,0.3632,HOLD: Monitor Only,73.12,0.0
159,39,8,0.2873,870.67,0.936,DEPLOY: $5 Standard Discount Email,244.48,61.12
160,49,4,0.5006,893.5,0.7403,DEPLOY: $5 Standard Discount Email,198.43,49.61
161,52,0,0.8327,516.97,0.7476,DEPLOY: $5 Standard Discount Email,115.95,28.99
162,32,4,0.4842,4633.43,0.405,HOLD: Monitor Only,562.9,0.0
163,4,22,0.0552,3402.56,0.1505,HOLD: Monitor Only,153.65,0.0
164,30,12,0.2019,245.18,0.8647,DEPLOY: $5 Standard Discount Email,63.61,15.9
165,37,13,0.1982,670.76,0.7698,DEPLOY: $5 Standard Discount Email,154.91,38.73
166,23,19,0.1285,487.66,0.8278,DEPLOY: $5 Standard Discount Email,121.1,30.28
167,39,14,0.1673,2646.03,0.8826,DEPLOY: $15 VIP Win-Back Coupon,700.63,175.16
168,45,6,0.3925,6580.14,0.8242,DEPLOY: $15 VIP Win-Back Coupon,1627.09,406.77
169,15,16,0.0811,3095.87,0.2826,HOLD: Monitor Only,262.49,0.0
170,43,6,0.3788,779.43,0.263,HOLD: Monitor Only,61.5,0.0
171,29,7,0.32,1233.03,0.0418,HOLD: Monitor Only,15.46,0.0
172,36,1,0.7562,339.88,0.7299,DEPLOY: $5 Standard Discount Email,74.42,18.61
173,13,36,0.0029,372.64,0.8381,DEPLOY: $5 Standard Discount Email,93.7,23.42
174,32,5,0.4318,4990.34,0.244,HOLD: Monitor Only,365.23,0.0
175,7,43,0.047,10228.51,0.0773,HOLD: Monitor Only,237.22,0.0
176,51,1,0.7609,766.84,0.3557,HOLD: Monitor Only,81.82,0.0
177,22,29,0.0913,1915.52,0.7548,DEPLOY: $5 Standard Discount Email,433.72,108.43
178,28,21,0.0657,4292.52,0.5994,HOLD: Monitor Only,771.87,0.0
179,2,32,0.0389,245.52,0.6604,HOLD: Monitor Only,48.65,0.0
180,42,0,0.8546,513.67,0.8717,DEPLOY: $5 Standard Discount Email,134.33,33.58
181,45,2,0.6773,19778.73,0.0602,HOLD: Monitor Only,357.09,0.0
182,6,13,0.165,572.92,0.5243,HOLD: Monitor Only,90.11,0.0
183,28,25,0.0432,1171.22,0.1069,HOLD: Monitor Only,37.56,0.0
184,28,9,0.2453,876.98,0.508,HOLD: Monitor Only,133.64,0.0
185,44,2,0.6467,165.05,0.638,HOLD: Monitor Only,31.59,0.0
186,44,3,0.5649,1996.73,0.4137,HOLD: Monitor Only,247.83,0.0
187,20,33,0.0416,1754.08,0.2917,HOLD: Monitor Only,153.51,0.0
188,30,8,0.2784,2246.26,0.4285,HOLD: Monitor Only,288.74,0.0
189,11,41,0.0321,1633.55,0.8992,DEPLOY: $5 Standard Discount Email,440.66,110.16
190,28,10,0.2513,1041.24,0.9518,DEPLOY: $5 Standard Discount Email,297.32,74.33
191,25,13,0.1471,971.92,0.3113,HOLD: Monitor Only,90.76,0.0
192,39,6,0.366,992.07,0.9174,DEPLOY: $5 Standard Discount Email,273.05,68.26
193,33,14,0.1381,552.01,0.5438,HOLD: Monitor Only,90.05,0.0
194,1,18,0.0716,664.77,0.4131,HOLD: Monitor Only,82.39,0.0
195,27,21,0.067,563.24,0.5867,HOLD: Monitor Only,99.14,0.0
196,52,0,0.8746,3597.85,0.1926,HOLD: Monitor Only,207.88,0.0
197,13,27,0.0398,2610.57,0.112,HOLD: Monitor Only,87.71,0.0
198,41,7,0.3107,1867.88,0.1114,HOLD: Monitor Only,62.44,0.0
199,3,7,0.3033,18596.31,0.6782,HOLD: Monitor Only,3783.43,0.0
200,39,10,0.2267,595.36,0.6443,HOLD: Monitor Only,115.08,0.0
201,6,8,0.3287,6922.5,0.4467,HOLD: Monitor Only,927.68,0.0
202,8,32,0.0539,1323.41,0.3487,HOLD: Monitor Only,138.44,0.0
203,27,0,0.8513,2183.31,0.1363,HOLD: Monitor Only,89.26,0.0
204,9,18,0.0879,4045.51,0.4617,HOLD: Monitor Only,560.39,0.0
205,37,2,0.6414,1019.39,0.201,HOLD: Monitor Only,61.48,0.0
206,33,9,0.282,508.75,0.5057,HOLD: Monitor Only,77.18,0.0
207,51,2,0.6455,620.09,0.5937,HOLD: Monitor Only,110.44,0.0
208,42,9,0.3,144.38,0.6278,HOLD: Monitor Only,27.19,0.0
209,44,0,0.8752,3744.92,0.207,HOLD: Monitor Only,232.58,0.0
210,24,28,0.0603,3638.36,0.2061,HOLD: Monitor Only,224.95,0.0
211,15,33,0.0536,12092.98,0.2261,HOLD: Monitor Only,820.12,0.0
212,32,18,0.1364,2974.75,0.2295,HOLD: Monitor Only,204.81,0.0
213,32,12,0.185,3969.0,0.9803,DEPLOY: $15 VIP Win-Back Coupon,1167.27,291.82
214,24,21,0.1125,1639.5,0.173,HOLD: Monitor Only,85.07,0.0
215,41,0,0.8901,3158.51,0.4136,HOLD: Monitor Only,391.88,0.0
216,52,1,0.7345,6684.26,0.4488,HOLD: Monitor Only,900.02,0.0
217,49,4,0.4961,2247.93,0.0293,HOLD: Monitor Only,19.73,0.0
218,49,4,0.5086,967.31,0.5948,HOLD: Monitor Only,172.61,0.0
219,52,1,0.7539,1388.15,0.3875,HOLD: Monitor Only,161.35,0.0
220,12,28,0.0772,4457.02,0.9645,DEPLOY: $15 VIP Win-Back Coupon,1289.62,322.41
221,39,6,0.3486,1002.73,0.6578,HOLD: Monitor Only,197.87,0.0
222,2,23,0.0584,5254.71,0.3662,HOLD: Monitor Only,577.34,0.0
223,3,25,0.0589,17859.97,0.3179,HOLD: Monitor Only,1703.39,0.0
224,49,0,0.8743,5333.46,0.0935,HOLD: Monitor Only,149.68,0.0
225,37,6,0.3505,4431.81,0.2845,HOLD: Monitor Only,378.23,0.0
226,49,4,0.5195,2743.96,0.8689,DEPLOY: $15 VIP Win-Back Coupon,715.26,178.82
227,17,4,0.5046,711.77,0.7508,DEPLOY: $5 Standard Discount Email,160.31,40.08
228,49,1,0.7617,638.36,0.3527,HOLD: Monitor Only,67.55,0.0
229,2,48,0.032,630.71,0.9406,DEPLOY: $5 Standard Discount Email,177.98,44.5
230,2,2,0.6441,3518.11,0.6297,HOLD: Monitor Only,664.61,0.0
231,28,6,0.3812,1133.02,0.7317,DEPLOY: $5 Standard Discount Email,248.71,62.18
232,23,25,0.0739,1746.22,0.0469,HOLD: Monitor Only,24.58,0.0
233,37,16,0.1285,2988.08,0.9712,DEPLOY: $15 VIP Win-Back Coupon,870.62,217.66
234,32,6,0.3697,659.51,0.8763,DEPLOY: $5 Standard Discount Email,173.38,43.34
235,33,20,0.0925,989.99,0.6876,HOLD: Monitor Only,204.2,0.0
236,1,0,0.8707,2663.67,0.4422,HOLD: Monitor Only,353.4,0.0
237,19,16,0.0992,1275.35,0.5366,HOLD: Monitor Only,205.32,0.0
238,2,42,0.0824,1426.61,0.0636,HOLD: Monitor Only,27.24,0.0
239,44,8,0.3106,523.65,0.838,DEPLOY: $5 Standard Discount Email,131.64,32.91
240,26,26,0.0469,1449.98,0.0558,HOLD: Monitor Only,24.29,0.0
241,32,2,0.6503,13129.33,0.1225,HOLD: Monitor Only,482.46,0.0
242,6,14,0.166,1058.26,0.7709,DEPLOY: $5 Standard Discount Email,244.76,61.19
243,32,20,0.0651,456.5,0.796,DEPLOY: $5 Standard Discount Email,109.01,27.25
244,4,42,0.0523,5708.8,0.0657,HOLD: Monitor Only,112.53,0.0
245,11,31,0.0561,3388.1,0.8924,DEPLOY: $15 VIP Win-Back Coupon,907.08,226.77
246,17,25,0.0559,2333.54,0.7486,DEPLOY: $5 Standard Discount Email,524.07,131.02
247,38,11,0.2055,371.53,0.9886,DEPLOY: $5 Standard Discount Email,110.19,27.55
248,24,15,0.1223,440.57,0.9935,DEPLOY: $5 Standard Discount Email,131.32,32.83
249,5,24,0.0993,285.78,0.8223,DEPLOY: $5 Standard Discount Email,70.5,17.63
250,52,1,0.726,3034.61,0.446,HOLD: Monitor Only,406.02,0.0
251,34,8,0.3068,6147.76,0.3419,HOLD: Monitor Only,630.49,0.0
252,6,0,0.8169,3159.98,0.4628,HOLD: Monitor Only,438.71,0.0
253,22,28,0.0588,18767.52,0.0522,HOLD: Monitor Only,293.93,0.0
254,11,21,0.0845,1063.92,0.2391,HOLD: Monitor Only,76.32,0.0
255,48,0,0.8461,1226.1,0.7058,DEPLOY: $5 Standard Discount Email,259.62,64.91
256,16,6,0.3673,2054.68,0.3083,HOLD: Monitor Only,190.03,0.0
257,33,13,0.1505,1372.79,0.9463,DEPLOY: $5 Standard Discount Email,389.73,97.43
258,9,28,0.0771,3289.38,0.2563,HOLD: Monitor Only,252.9,0.0
259,6,18,0.1238,839.2,0.9908,DEPLOY: $5 Standard Discount Email,249.45,62.36
260,16,18,0.1021,339.11,0.8149,DEPLOY: $5 Standard Discount Email,82.9,20.73
261,29,1,0.7166,211.2,0.8074,DEPLOY: $5 Standard Discount Email,51.16,12.79
262,3,40,0.0879,3218.32,0.8577,DEPLOY: $15 VIP Win-Back Coupon,828.12,207.03
263,20,14,0.1304,961.9,0.8036,DEPLOY: $5 Standard Discount Email,231.89,57.97
264,36,2,0.6135,444.32,0.8607,DEPLOY: $5 Standard Discount Email,114.72,28.68
265,19,10,0.1883,860.17,0.3029,HOLD: Monitor Only,78.16,0.0
266,26,20,0.0918,18826.83,0.7945,DEPLOY: $15 VIP Win-Back Coupon,4487.34,1121.84
267,3,45,0.0466,476.72,0.5329,HOLD: Monitor Only,76.21,0.0
268,19,29,0.0809,4327.0,0.7926,DEPLOY: $15 VIP Win-Back Coupon,1028.93,257.23
269,20,17,0.1247,2996.84,0.6742,HOLD: Monitor Only,606.14,0.0
270,32,18,0.1096,9042.76,0.1635,HOLD: Monitor Only,443.51,0.0
271,7,1,0.7331,1559.76,0.284,HOLD: Monitor Only,132.89,0.0
272,52,1,0.7608,277.99,0.6544,HOLD: Monitor Only,54.58,0.0
273,41,7,0.3673,5949.45,0.4187,HOLD: Monitor Only,747.28,0.0
274,33,5,0.4481,1339.72,0.6462,HOLD: Monitor Only,259.73,0.0
275,40,11,0.1944,8344.48,0.8048,DEPLOY: $15 VIP Win-Back Coupon,2014.79,503.7
276,39,14,0.1636,4813.42,0.1425,HOLD: Monitor Only,205.71,0.0
277,18,35,0.0462,5973.23,0.4834,HOLD: Monitor Only,866.18,0.0
278,40,11,0.1815,31013.51,0.2863,HOLD: Monitor Only,2663.66,0.0
279,1,51,0.0324,2536.14,0.9924,DEPLOY: $15 VIP Win-Back Coupon,755.07,188.77
280,11,17,0.1053,10213.1,0.5304,HOLD: Monitor Only,1625.1,0.0
281,28,1,0.7406,1112.3,0.373,HOLD: Monitor Only,124.47,0.0
282,25,12,0.2235,3459.41,0.1854,HOLD: Monitor Only,192.38,0.0
283,50,0,0.8324,989.57,0.6879,HOLD: Monitor Only,204.21,0.0
284,23,21,0.1108,3213.41,0.127,HOLD: Monitor Only,122.43,0.0
285,31,14,0.1416,2834.91,0.2142,HOLD: Monitor Only,182.13,0.0
286,30,19,0.0559,152.52,0.9905,DEPLOY: $5 Standard Discount Email,45.32,11.33
287,42,10,0.2184,867.77,0.4402,HOLD: Monitor Only,114.59,0.0
288,35,9,0.2809,2383.63,0.3284,HOLD: Monitor Only,234.83,0.0
289,7,28,0.0689,120.44,0.8584,DEPLOY: $5 Standard Discount Email,31.02,7.75
290,16,2,0.6507,1611.61,0.0522,HOLD: Monitor Only,25.25,0.0
291,26,18,0.1303,6064.24,0.5134,HOLD: Monitor Only,934.05,0.0
292,48,2,0.6219,8606.7,0.2698,HOLD: Monitor Only,696.72,0.0
293,52,1,0.7175,707.03,0.6523,HOLD: Monitor Only,138.36,0.0
294,49,2,0.5974,9295.52,0.1615,HOLD: Monitor Only,450.27,0.0
295,2,3,0.5776,7705.89,0.477,HOLD: Monitor Only,1102.8,0.0
296,1,51,0.0616,137.35,0.2284,HOLD: Monitor Only,9.41,0.0
297,48,2,0.6571,2077.56,0.2744,HOLD: Monitor Only,171.0,0.0
298,12,30,0.0352,2372.54,0.4393,HOLD: Monitor Only,312.66,0.0
299,5,42,0.0194,11187.52,0.2366,HOLD: Monitor Only,793.98,0.0
300,37,10,0.2021,2549.52,0.9848,DEPLOY: $15 VIP Win-Back Coupon,753.22,188.31
301,32,1,0.7201,9628.45,0.1934,HOLD: Monitor Only,558.61,0.0
302,9,8,0.322,708.44,0.3791,HOLD: Monitor Only,80.57,0.0
303,41,11,0.2236,265.69,0.8257,DEPLOY: $5 Standard Discount Email,65.81,16.45
304,35,1,0.7294,830.97,0.1571,HOLD: Monitor Only,39.16,0.0
305,19,14,0.154,11996.69,0.5517,HOLD: Monitor Only,1985.6,0.0
306,48,0,0.8364,5492.3,0.3509,HOLD: Monitor Only,578.17,0.0
307,16,35,0.0615,29347.24,0.0823,HOLD: Monitor Only,724.78,0.0
308,3,7,0.3072,319.9,0.5989,HOLD: Monitor Only,57.48,0.0
309,20,8,0.306,6308.08,0.1581,HOLD: Monitor Only,299.24,0.0
310,24,25,0.0518,4473.11,0.6108,HOLD: Monitor Only,819.62,0.0
311,33,4,0.5052,1283.85,0.413,HOLD: Monitor Only,159.09,0.0
312,24,15,0.1258,4587.6,0.3422,HOLD: Monitor Only,470.96,0.0
313,52,0,0.8342,2138.71,0.4589,HOLD: Monitor Only,294.41,0.0
314,11,38,0.0849,3141.23,0.2692,HOLD: Monitor Only,253.69,0.0
315,49,1,0.7421,4091.47,0.3033,HOLD: Monitor Only,372.3,0.0
316,8,16,0.1161,5861.33,0.9946,DEPLOY: $15 VIP Win-Back Coupon,1748.96,437.24
317,36,2,0.6578,2006.55,0.0938,HOLD: Monitor Only,56.49,0.0
318,38,4,0.4622,15257.15,0.188,HOLD: Monitor Only,860.67,0.0
319,40,2,0.6648,1395.67,0.2164,HOLD: Monitor Only,90.61,0.0
320,20,28,0.0592,17335.46,0.8889,DEPLOY: $15 VIP Win-Back Coupon,4622.95,1155.74
321,35,6,0.3873,467.12,0.5263,HOLD: Monitor Only,73.76,0.0
